"","week","home_team","home_points","away_team","away_points","conference_game"
"473",8,"Akron",0,"Buffalo",21,TRUE
"474",8,"Louisiana Tech",45,"Southern Mississippi",30,TRUE
"475",8,"Maryland",28,"Indiana",34,TRUE
"476",8,"Virginia",48,"Duke",14,TRUE
"477",8,"Cincinnati",24,"Tulsa",13,TRUE
"478",8,"Washington",31,"Oregon",35,TRUE
"479",8,"North Texas",33,"Middle Tennessee",30,TRUE
"480",8,"Oklahoma State",27,"Baylor",45,TRUE
"481",8,"Vanderbilt",21,"Missouri",14,TRUE
"482",8,"UAB",38,"Old Dominion",14,TRUE
"483",8,"Western Kentucky",30,"Charlotte",14,TRUE
"484",8,"Georgia",21,"Kentucky",0,TRUE
"485",8,"UT San Antonio",31,"Rice",27,TRUE
"486",8,"Utah",21,"Arizona State",3,TRUE
"487",8,"Liberty",59,"Maine",44,FALSE
"488",8,"Washington State",41,"Colorado",10,TRUE
"489",8,"Eastern Michigan",34,"Western Michigan",27,TRUE
"490",8,"UCF",41,"East Carolina",28,TRUE
"491",8,"Florida International",32,"UTEP",17,TRUE
"492",8,"Georgia State",28,"Army",21,FALSE
"493",8,"Memphis",47,"Tulane",17,TRUE
"494",8,"Texas",50,"Kansas",48,TRUE
"495",8,"San José State",17,"San Diego State",27,TRUE
"496",8,"Ole Miss",17,"Texas A&M",24,TRUE
"497",8,"Wake Forest",22,"Florida State",20,TRUE
"498",8,"Penn State",28,"Michigan",21,TRUE
"499",8,"Alabama",35,"Tennessee",13,TRUE
"500",8,"USC",41,"Arizona",14,TRUE
